Uniprot_ID,Uniprot_name,Location_control,Confidence_control,Location_AD,Confidence_AD
A0A024RBG1,NUD4B_HUMAN;sp,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,High
A0AVT1,UBA6_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
A0FGR8,ESYT2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
A1L0T0,ILVBL_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum_Presynapse,Low
A2RRP1,NBAS_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
A2RTX5,SYTC2_HUMAN,Endoplasmic Reticulum,Medium,Nucleus,Medium
A2RU67,F234B_HUMAN,Mitochondria,Low,Mitochondria,Medium
A5PKW4,PSD1_HUMAN,Mitochondria,Medium,Mitochondria_Nucleus,Low
A5YM72,CRNS1_HUMAN,Cytoskeleton,Medium,Cytoskeleton_Endoplasmic Reticulum,Low
A6NDG6,PGP_HUMAN,Cytoplasm,High,Cytoplasm,High
A6NE02,BTBDH_HUMAN,NA,None,Mitochondria,Low
A6NHX0,CAST2_HUMAN;sp,Cytoplasm,High,Cytoplasm,High
C9J069,AJM1_HUMAN,Postsynapse,High,Mitochondria,Medium
E9PAV3,NACAM_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,Medium
O00116,ADAS_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Mitochondria,Low
O00139,KIF2A_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton,Medium
O00142,KITM_HUMAN,Mitochondria,High,Mitochondria,High
O00154,BACH_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O00159,MYO1C_HUMAN,Nucleus,High,Nucleus,Medium
O00161,SNP23_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O00165,HAX1_HUMAN,Postsynapse,Medium,Mitochondria_Nucleus,Low
O00170,AIP_HUMAN,Endoplasmic Reticulum,Low,NA,None
O00178,GTPB1_HUMAN,Endoplasmic Reticulum,Medium,Mitochondria,High
O00186,STXB3_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton,Medium
O00192,ARVC_HUMAN,Endoplasmic Reticulum,Medium,Mitochondria,High
O00194,RB27B_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,Endoplasmic Reticulum,Medium
O00217,NDUS8_HUMAN,Postsynapse,Low,Cytoskeleton_Postsynapse,Low
O00231,PSD11_HUMAN,Cytoskeleton,Medium,Presynapse,Medium
O00232,PSD12_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Low
O00244,ATOX1_HUMAN,Cytoplasm,High,Cytoplasm,Medium
O00264,PGRC1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Low
O00291,HIP1_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Endoplasmic Reticulum_Presynapse,Low
O00299,CLIC1_HUMAN,Cytoplasm,High,Cytoplasm,Medium
O00303,EIF3F_HUMAN,Presynapse,High,Endoplasmic Reticulum,High
O00305,CACB4_HUMAN;sp,Endoplasmic Reticulum,Medium,Mitochondria_Presynapse,Low
O00330,ODPX_HUMAN,Plasma membrane,Low,Mitochondria,Medium
O00399,DCTN6_HUMAN,Cytoplasm,Low,Mitochondria_Postsynapse,Low
O00401,WASL_HUMAN,Cytoskeleton_Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Presynapse,Low
O00408,PDE2A_HUMAN,Cytoskeleton,Low,Cytoskeleton,Medium
O00410,IPO5_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O00429,DNM1L_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O00442,RTCA_HUMAN,Endoplasmic Reticulum,High,Cytoskeleton,Medium
O00445,SYT5_HUMAN,Endoplasmic Reticulum,High,Nucleus,Low
O00468,AGRIN_HUMAN,Nucleus,High,Nucleus,High
O00471,EXOC5_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Medium
O00478,BT3A3_HUMAN;sp,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Presynapse,Low
O00483,NDUA4_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O00487,PSDE_HUMAN,Cytoskeleton,Medium,Endoplasmic Reticulum_Presynapse,Low
O00499,BIN1_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
O00505,IMA4_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O00519,FAAH1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O00533,NCHL1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O00560,SDCB1_HUMAN,Presynapse,Medium,Plasma membrane,Medium
O00571,DDX3X_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Low
O00584,RNT2_HUMAN,Cytoplasm,High,Cytoplasm,High
O00625,PIR_HUMAN,NA,None,Cytoplasm,High
O00629,IMA3_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O00743,PPP6_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Mitochondria,Low
O00764,PDXK_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O14490,DLGP1_HUMAN,Mitochondria,High,Mitochondria,High
O14495,PLPP3_HUMAN,Presynapse,High,Plasma membrane,Low
O14521,DHSD_HUMAN,Mitochondria,High,Mitochondria,High
O14523,C2C2L_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O14525,ASTN1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Mitochondria,Low
O14531,DPYL4_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O14548,COX7R_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O14558,HSPB6_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Endoplasmic Reticulum,Medium
O14561,ACPM_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O14576,DC1I1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O14579,COPE_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,High
O14594,NCAN_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O14617,AP3D1_HUMAN,Cytoskeleton,High,Cytoskeleton,Medium
O14639,ABLM1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Low
O14653,GOSR2_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O14662,STX16_HUMAN,Mitochondria_Postsynapse,Low,Endoplasmic Reticulum_Mitochondria,Low
O14672,ADA10_HUMAN,Presynapse,High,Cytoskeleton_Presynapse,Low
O14734,ACOT8_HUMAN,Endoplasmic Reticulum,High,Mitochondria_Presynapse,Low
O14735,CDIPT_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O14737,PDCD5_HUMAN,Cytoplasm,High,Cytoplasm,High
O14744,ANM5_HUMAN,Cytoplasm_Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Low
O14745,NHRF1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O14773,TPP1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O14775,GNB5_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton_Presynapse,Low
O14787,TNPO2_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O14807,RASM_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Presynapse,Low
O14810,CPLX1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O14818,PSA7_HUMAN;sp,Cytoskeleton,Medium,Cytoskeleton,High
O14827,RGRF2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Mitochondria,Low
O14828,SCAM3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O14841,OPLA_HUMAN,Cytoplasm_Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Mitochondria,Low
O14874,BCKD_HUMAN,Mitochondria,High,Mitochondria,High
O14880,MGST3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O14907,TX1B3_HUMAN,Cytoplasm,Medium,Endoplasmic Reticulum,Medium
O14910,LIN7A_HUMAN;sp,Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Low
O14936,CSKP_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Cytoskeleton,Medium
O14949,QCR8_HUMAN,Mitochondria,High,Mitochondria_Postsynapse,Low
O14964,HGS_HUMAN,Cytoplasm,Low,Cytoskeleton,Low
O14974,MYPT1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O14976,GAK_HUMAN,Presynapse,Medium,Presynapse,Medium
O14979,HNRDL_HUMAN,Nucleus,Medium,Endoplasmic Reticulum_Nucleus,Low
O14980,XPO1_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
O14994,SYN3_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O15020,SPTN2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O15027,SC16A_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O15061,SYNEM_HUMAN,Nucleus,High,Endoplasmic Reticulum,Medium
O15066,KIF3B_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Mitochondria,Low
O15067,PUR4_HUMAN,Cytoplasm,High,Cytoplasm,High
O15068,MCF2L_HUMAN,Mitochondria,Medium,Postsynapse,Medium
O15069,NACAD_HUMAN,Endoplasmic Reticulum,High,Nucleus,Low
O15075,DCLK1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O15079,SNPH_HUMAN,Postsynapse_Presynapse,Low,Mitochondria_Postsynapse,Low
O15083,ERC2_HUMAN,Postsynapse,High,Postsynapse,High
O15118,NPC1_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Presynapse,Medium
O15126,SCAM1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O15127,SCAM2_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O15173,PGRC2_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton,Medium
O15212,PFD6_HUMAN,Cytoplasm,Medium,Cytoplasm,Medium
O15228,GNPAT_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
O15230,LAMA5_HUMAN,Nucleus,High,Nucleus,High
O15240,VGF_HUMAN,Plasma membrane,Medium,Presynapse,Low
O15260,SURF4_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O15294,OGT1_HUMAN,Cytoskeleton_Postsynapse,Low,Postsynapse,Low
O15371,EIF3D_HUMAN,Plasma membrane_Presynapse,Low,Endoplasmic Reticulum,Medium
O15372,EIF3H_HUMAN,Endoplasmic Reticulum_Plasma membrane,Low,Endoplasmic Reticulum,Medium
O15400,STX7_HUMAN,Presynapse,Medium,Cytoplasm,Low
O15439,MRP4_HUMAN,Mitochondria,Medium,Mitochondria,High
O15484,CAN5_HUMAN,Presynapse,Medium,Plasma membrane,Medium
O15498,YKT6_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O15523,DDX3Y_HUMAN,Endoplasmic Reticulum,Low,Mitochondria_Nucleus,Low
O15530,PDPK1_HUMAN;sp,Mitochondria_Postsynapse,Low,Nucleus,Medium
O15540,FABP7_HUMAN,Cytoplasm,Medium,Cytoskeleton,High
O43143,DHX15_HUMAN,Nucleus,High,Nucleus,High
O43149,ZZEF1_HUMAN,Mitochondria,Low,Mitochondria,High
O43157,PLXB1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Low
O43169,CYB5B_HUMAN,Plasma membrane_Presynapse,Low,Cytoskeleton_Endoplasmic Reticulum,Low
O43175,SERA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43181,NDUS4_HUMAN,Postsynapse,High,Postsynapse,High
O43236,SEPT4_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
O43237,DC1L2_HUMAN,Plasma membrane,High,Cytoskeleton,High
O43242,PSMD3_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O43272,PROD_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,Endoplasmic Reticulum_Mitochondria,Low
O43295,SRGP3_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Presynapse,Medium
O43301,HS12A_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43324,MCA3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O43390,HNRPR_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43396,TXNL1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O43399,TPD54_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton_Plasma membrane,Low
O43414,ERI3_HUMAN,Cytoplasm,High,Cytoplasm,High
O43426,SYNJ1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43427,FIBP_HUMAN,Endoplasmic Reticulum,High,Presynapse,Low
O43432,IF4G3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O43464,HTRA2_HUMAN,Mitochondria_Postsynapse,Low,Mitochondria,Low
O43488,ARK72_HUMAN;sp,Cytoskeleton,Medium,Cytoskeleton,High
O43491,E41L2_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O43504,LTOR5_HUMAN,Plasma membrane,Medium,Presynapse,Medium
O43505,B4GA1_HUMAN,Endoplasmic Reticulum,Low,Cytoskeleton,Medium
O43572,AKA10_HUMAN,Mitochondria,Low,Mitochondria,High
O43581,SYT7_HUMAN,Presynapse,Medium,Presynapse,High
O43592,XPOT_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum,High
O43598,DNPH1_HUMAN,Cytoplasm,High,Cytoplasm,High
O43615,TIM44_HUMAN,Mitochondria_Postsynapse,Low,Mitochondria_Plasma membrane,Low
O43674,NDUB5_HUMAN,Mitochondria,Medium,Postsynapse,Medium
O43676,NDUB3_HUMAN,Postsynapse,Medium,Postsynapse,Low
O43678,NDUA2_HUMAN,Mitochondria,High,Postsynapse,High
O43681,ASNA_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Medium
O43687,AKA7A_HUMAN;sp,NA,None,Nucleus,Low
O43707,ACTN4_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43708,MAAI_HUMAN,Cytoplasm,Medium,Cytoplasm_Cytoskeleton,Low
O43739,CYH3_HUMAN;sp,Endoplasmic Reticulum,Low,Mitochondria_Nucleus,Low
O43747,AP1G1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O43752,STX6_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Low
O43759,SNG1_HUMAN,Presynapse,Medium,Presynapse,High
O43760,SNG2_HUMAN,NA,None,Mitochondria_Nucleus,Low
O43761,SNG3_HUMAN,Presynapse,High,Presynapse,High
O43765,SGTA_HUMAN,Endoplasmic Reticulum,Medium,Plasma membrane,Low
O43768,ENSA_HUMAN,Cytoplasm,Medium,Cytoplasm,Low
O43772,MCAT_HUMAN,Mitochondria,High,Mitochondria,High
O43776,SYNC_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O43809,CPSF5_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum_Plasma membrane,Low
O43813,LANC1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43837,IDH3B_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43852,CALU_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O43854,EDIL3_HUMAN,NA,None,Mitochondria,Low
O43865,SAHH2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O43920,NDUS5_HUMAN,Postsynapse,High,Cytoskeleton,Medium
O60220,TIM8A_HUMAN,Mitochondria_Postsynapse,Low,Postsynapse,Low
O60229,KALRN_HUMAN,Mitochondria,High,Mitochondria,High
O60245,PCDH7_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,NA,None
O60256,KPRB_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O60262,GBG7_HUMAN,Plasma membrane,Medium,Cytoskeleton_Plasma membrane,Low
O60268,K0513_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Low
O60282,KIF5C_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O60307,MAST3_HUMAN,Mitochondria,Low,Mitochondria,High
O60313,OPA1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O60331,PI51C_HUMAN;sp,Cytoskeleton_Presynapse,Low,Endoplasmic Reticulum_Presynapse,Low
O60346,PHLP1_HUMAN,Endoplasmic Reticulum_Postsynapse,Low,NA,None
O60359,CCG3_HUMAN,Mitochondria,High,Mitochondria,High
O60493,SNX3_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O60502,OGA_HUMAN,Cytoskeleton,High,Endoplasmic Reticulum,Medium
O60503,ADCY9_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
O60506,HNRPQ_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O60613,SEP15_HUMAN,Cytoplasm,Low,Endoplasmic Reticulum,Medium
O60641,AP180_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O60645,EXOC3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O60658,PDE8A_HUMAN,Endoplasmic Reticulum,Low,Mitochondria,Medium
O60664,PLIN3_HUMAN,Cytoskeleton_Endoplasmic Reticulum,Low,Cytoskeleton,Medium
O60684,IMA7_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O60716,CTND1_HUMAN,Presynapse,Low,Endoplasmic Reticulum,High
O60739,EIF1B_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O60741,HCN1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum_Plasma membrane,Low
O60749,SNX2_HUMAN,Cytoplasm,Medium,Mitochondria,Medium
O60762,DPM1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O60763,USO1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,High
O60784,TOM1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O60825,F262_HUMAN;sp,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O60831,PRAF2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O60841,IF2P_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
O60861,GAS7_HUMAN,Endoplasmic Reticulum,Low,Cytoskeleton,Medium
O60869,EDF1_HUMAN,Endoplasmic Reticulum,High,Plasma membrane,Medium
O60883,G37L1_HUMAN,Presynapse,High,Presynapse,Medium
O60884,DNJA2_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
O60888,CUTA_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O60925,PFD1_HUMAN,Cytoplasm,Medium,Cytoplasm,Low
O60936,NOL3_HUMAN,Cytoplasm,High,Cytoplasm,Medium
O60939,SCN2B_HUMAN,Endoplasmic Reticulum,Medium,Presynapse,Low
O75027,ABCB7_HUMAN,Mitochondria,Medium,Mitochondria,High
O75044,SRGP2_HUMAN;sp,Mitochondria,Low,Mitochondria,High
O75051,PLXA2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Presynapse,Low
O75061,AUXI_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75077,ADA23_HUMAN,Endoplasmic Reticulum_Plasma membrane,Low,Presynapse,Low
O75078,ADA11_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O75083,WDR1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75110,ATP9A_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum_Plasma membrane,Low
O75116,ROCK2_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O75122,CLAP2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75131,CPNE3_HUMAN;sp,Cytoskeleton_Presynapse,Low,Cytoskeleton_Presynapse,Low
O75145,LIPA3_HUMAN,Postsynapse_Presynapse,Low,Cytoskeleton,Medium
O75146,HIP1R_HUMAN,Presynapse,High,Endoplasmic Reticulum_Plasma membrane,Low
O75155,CAND2_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
O75170,PP6R2_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
O75208,COQ9_HUMAN,Mitochondria,Medium,Mitochondria,Medium
O75223,GGCT_HUMAN,Cytoplasm,High,Cytoplasm,High
O75251,NDUS7_HUMAN,Postsynapse,Medium,Postsynapse,Medium
O75306,NDUS2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75323,NIPS2_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
O75334,LIPA2_HUMAN,Mitochondria,High,Mitochondria,High
O75340,PDCD6_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O75348,VATG1_HUMAN,Endoplasmic Reticulum,Low,Cytoskeleton,Low
O75351,VPS4B_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Low
O75352,MPU1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O75363,BCAS1_HUMAN,Plasma membrane,High,Plasma membrane,High
O75367,H2AY_HUMAN,Nucleus,High,Nucleus,High
O75368,SH3L1_HUMAN,Cytoskeleton,High,Cytoskeleton,Medium
O75380,NDUS6_HUMAN,Mitochondria,Low,Postsynapse,Medium
O75381,PEX14_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Plasma membrane,Low
O75382,TRIM3_HUMAN,Endoplasmic Reticulum,Medium,Presynapse,Medium
O75390,CISY_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75396,SC22B_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O75431,MTX2_HUMAN,Mitochondria,Medium,Postsynapse,High
O75436,VP26A_HUMAN,NA,None,Endoplasmic Reticulum,Low
O75438,NDUB1_HUMAN,Postsynapse,Medium,Postsynapse,High
O75439,MPPB_HUMAN,Mitochondria,High,Mitochondria,High
O75489,NDUS3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75506,HSBP1_HUMAN,Postsynapse,Medium,Postsynapse,Medium
O75508,CLD11_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
O75521,ECI2_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,Endoplasmic Reticulum_Nucleus,Low
O75531,BAF_HUMAN,Nucleus,High,Nucleus,Low
O75534,CSDE1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O75569,PRKRA_HUMAN,Presynapse,Low,Endoplasmic Reticulum,Medium
O75592,MYCB2_HUMAN,NA,None,Mitochondria_Nucleus,Low
O75608,LYPA1_HUMAN,Cytoplasm,High,Cytoplasm,High
O75643,U520_HUMAN,Nucleus,High,Nucleus,High
O75663,TIPRL_HUMAN,Cytoplasm,High,Cytoskeleton,High
O75689,ADAP1_HUMAN;sp,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O75746,CMC1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75781,PALM_HUMAN,Cytoskeleton,High,Cytoskeleton,High
O75821,EIF3G_HUMAN,Cytoplasm,Medium,Mitochondria,Low
O75822,EIF3J_HUMAN,Plasma membrane,Medium,Plasma membrane,Low
O75828,CBR3_HUMAN,Cytoplasm,High,Cytoskeleton,Medium
O75832,PSD10_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O75844,FACE1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O75874,IDHC_HUMAN,Cytoskeleton,Medium,Cytoplasm,Medium
O75879,GATB_HUMAN,Mitochondria,High,Mitochondria,High
O75880,SCO1_HUMAN,Mitochondria,High,Mitochondria,Medium
O75884,RBBP9_HUMAN,Cytoplasm,High,Cytoplasm,High
O75891,AL1L1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75896,TUSC2_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,Nucleus,Medium
O75899,GABR2_HUMAN,Presynapse,Medium,Endoplasmic Reticulum,Medium
O75914,PAK3_HUMAN,Cytoplasm,High,Cytoplasm,Medium
O75915,PRAF3_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Medium
O75923,DYSF_HUMAN,Endoplasmic Reticulum,Low,Mitochondria_Nucleus,Low
O75935,DCTN3_HUMAN,Cytoskeleton,Medium,Endoplasmic Reticulum,Low
O75936,BODG_HUMAN,Cytoplasm,Low,Endoplasmic Reticulum_Nucleus,Low
O75937,DNJC8_HUMAN,Nucleus_Postsynapse,Low,Nucleus,High
O75947,ATP5H_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O75962,TRIO_HUMAN,Endoplasmic Reticulum,Low,Postsynapse,Medium
O75964,ATP5L_HUMAN,Mitochondria_Postsynapse,Low,Postsynapse,High
O75964,ATP5L_HUMAN,Mitochondria_Postsynapse,Low,Postsynapse,High
O76003,GLRX3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Presynapse,Low
O76024,WFS1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O76041,NEBL_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Low
O76054,S14L2_HUMAN;sp,NA,None,Cytoskeleton_Endoplasmic Reticulum,Low
O76070,SYUG_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O76094,SRP72_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
O94760,DDAH1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94772,LY6H_HUMAN,Presynapse,Medium,Plasma membrane,Medium
O94805,ACL6B_HUMAN,Nucleus,Medium,Nucleus,Medium
O94811,TPPP_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94819,KBTBB_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94826,TOM70_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94830,DDHD2_HUMAN,Endoplasmic Reticulum,Low,Mitochondria,Medium
O94832,MYO1D_HUMAN,Cytoskeleton,Low,Cytoskeleton,High
O94874,UFL1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O94875,SRBS2_HUMAN,Mitochondria,Medium,Mitochondria,Medium
O94903,PLPHP_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton_Endoplasmic Reticulum,Low
O94905,ERLN2_HUMAN,Plasma membrane,Low,Cytoskeleton,Medium
O94910,AGRL1_HUMAN,Plasma membrane,High,NA,None
O94911,ABCA8_HUMAN,Cytoplasm_Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Medium
O94915,FRYL_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Low
O94919,ENDD1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94925,GLSK_HUMAN,Plasma membrane,High,Cytoskeleton,High
O94966,UBP19_HUMAN,Nucleus,Low,Nucleus,Medium
O94966,UBP19_HUMAN,Nucleus,Low,Nucleus,Medium
O94967,WDR47_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton,Low
O94973,AP2A2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
O94979,SC31A_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
O94985,CSTN1_HUMAN,Cytoplasm,High,Cytoplasm,Medium
O95057,DIRA1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
O95139,NDUB6_HUMAN,Mitochondria,High,Mitochondria,High
O95140,MFN2_HUMAN,Plasma membrane_Presynapse,Low,Presynapse,Medium
O95167,NDUA3_HUMAN,Mitochondria_Postsynapse,Low,Postsynapse,Low
